property_id,state,city,price,area_sqft,bedrooms,bathrooms,lot_size_acres,year_built,rental_income,mainroad_access,airconditioning,garage_parking,school_rating,walkability_score,preferred_area,tax_rate,maintenance_cost
790,New York,Albany,374230.0,4841.0,4.0,1.0,2.5,1989,1299.0,No,No,2.0,3.0,90.0,No,1.92,1688.0
791,Nevada,Henderson,928344.0,1681.0,3.0,3.0,0.68,1976,3895.0,No,No,0.0,8.0,11.0,Yes,2.71,4702.0
792,Florida,Tampa,626824.0,,4.0,1.0,2.58,1981,2856.0,No,No,1.0,5.0,,No,2.42,5579.0
793,Florida,Tampa,746282.0,2488.0,1.0,1.0,1.47,1954,,No,No,0.0,1.0,19.0,No,0.91,4521.0
794,Texas,San Antonio,730209.0,1912.0,1.0,3.0,2.9,1997,1879.0,Yes,No,0.0,,32.0,No,1.79,3902.0
795,Arizona,Phoenix,881998.0,833.0,3.0,,3.92,1989,,No,Yes,0.0,7.0,100.0,Yes,2.09,2805.0
796,California,San Diego,1588510.0,4117.0,,2.0,4.78,1987,6652.0,No,Yes,3.0,10.0,36.0,No,2.33,1729.0
797,Georgia,Savannah,868988.0,1810.0,3.0,4.0,0.42,2014,2663.0,Yes,No,3.0,1.0,84.0,No,2.67,3511.0
798,Texas,Dallas,837523.0,884.0,2.0,2.0,0.11,2011,2621.0,Yes,No,3.0,7.0,6.0,Yes,1.4,5134.0
799,Georgia,Columbus,546545.0,2838.0,3.0,3.0,1.31,1964,2460.0,Yes,No,3.0,7.0,96.0,Yes,0.91,1685.0
800,Nevada,Carson City,497517.0,1204.0,3.0,1.0,2.68,2011,1255.0,Yes,Yes,0.0,,38.0,No,2.56,3759.0
801,Illinois,Peoria,632296.0,932.0,,2.0,0.24,1960,1579.0,No,Yes,1.0,,61.0,Yes,1.86,5093.0
802,Texas,San Antonio,346273.0,2040.0,3.0,,0.94,1991,874.0,Yes,Yes,,10.0,93.0,Yes,2.31,5240.0
803,Florida,Orlando,329683.0,3411.0,3.0,4.0,1.17,1979,1278.0,Yes,Yes,1.0,4.0,87.0,No,0.81,2446.0
804,Illinois,Chicago,915844.0,4317.0,4.0,2.0,0.88,1995,2236.0,Yes,Yes,3.0,1.0,99.0,Yes,1.04,3419.0
805,New York,Buffalo,407858.0,,5.0,4.0,2.07,1986,1205.0,No,No,3.0,4.0,53.0,No,2.37,1249.0
806,Illinois,Chicago,865377.0,799.0,1.0,2.0,1.0,1995,2946.0,Yes,Yes,0.0,1.0,6.0,No,1.27,
807,California,San Diego,,,,1.0,4.29,2017,3760.0,Yes,No,3.0,2.0,72.0,Yes,2.43,2125.0
808,Georgia,Augusta,329059.0,2257.0,4.0,1.0,4.06,1962,,No,No,1.0,1.0,81.0,Yes,2.33,3040.0
809,Nevada,Henderson,440639.0,1493.0,5.0,1.0,2.02,1966,1443.0,No,No,1.0,10.0,32.0,No,2.49,3621.0
810,California,San Diego,2889940.0,3172.0,4.0,2.0,0.14,1987,,No,Yes,2.0,10.0,96.0,Yes,1.09,5808.0
811,Illinois,Naperville,1683681.0,3205.0,3.0,2.0,4.67,1990,5301.0,Yes,Yes,2.0,6.0,33.0,Yes,1.9,1678.0
812,California,Sacramento,484461.0,2546.0,1.0,2.0,1.4,1964,2408.0,No,Yes,0.0,1.0,72.0,Yes,1.7,3246.0
813,Florida,Miami,1422062.0,4681.0,2.0,2.0,1.74,1960,5105.0,No,Yes,1.0,1.0,72.0,No,1.81,5575.0
814,Florida,Tampa,821700.0,2487.0,2.0,3.0,1.72,1971,2921.0,Yes,No,3.0,5.0,54.0,No,2.76,4930.0
815,Florida,Jacksonville,,4675.0,5.0,,1.77,2003,1718.0,Yes,Yes,2.0,8.0,25.0,No,2.34,3516.0
816,Texas,San Antonio,334679.0,3127.0,4.0,2.0,0.86,1979,1199.0,No,Yes,3.0,6.0,86.0,Yes,1.25,1424.0
817,Illinois,Peoria,637388.0,2553.0,3.0,2.0,3.52,1950,3164.0,Yes,Yes,3.0,9.0,32.0,Yes,1.96,1763.0
818,Arizona,Tucson,572701.0,838.0,2.0,4.0,2.98,2001,2371.0,Yes,Yes,2.0,9.0,20.0,Yes,2.21,4028.0
819,Illinois,Chicago,928338.0,913.0,4.0,3.0,4.83,2015,4443.0,Yes,Yes,0.0,2.0,45.0,Yes,2.92,3619.0
820,Georgia,Atlanta,1399398.0,2189.0,2.0,3.0,2.79,1958,5943.0,Yes,No,3.0,3.0,45.0,No,1.26,2675.0
821,Georgia,Columbus,397814.0,3355.0,2.0,,0.14,2005,875.0,No,Yes,0.0,7.0,94.0,Yes,1.83,5384.0
822,Arizona,Mesa,,2471.0,3.0,1.0,2.59,1991,2417.0,Yes,No,0.0,3.0,84.0,No,0.97,6141.0
823,Nevada,Las Vegas,772630.0,1947.0,1.0,2.0,3.67,1991,2456.0,No,No,,7.0,53.0,No,1.11,6313.0
824,Arizona,Phoenix,715350.0,2627.0,4.0,2.0,1.88,2002,2143.0,No,No,2.0,,15.0,No,1.84,3811.0
825,New York,Rochester,339647.0,4290.0,5.0,3.0,2.02,1967,977.0,Yes,Yes,1.0,6.0,46.0,No,1.88,3529.0
826,California,San Diego,1106893.0,2636.0,5.0,4.0,1.74,2016,5078.0,Yes,Yes,2.0,1.0,16.0,Yes,1.91,
827,Nevada,Reno,1019888.0,699.0,2.0,3.0,3.29,1965,2229.0,Yes,Yes,,5.0,95.0,No,2.9,
828,California,Sacramento,678426.0,4716.0,3.0,2.0,0.97,1977,1392.0,Yes,No,2.0,7.0,64.0,Yes,2.05,4889.0
829,New York,Buffalo,,4103.0,,4.0,3.35,1993,938.0,No,No,0.0,8.0,83.0,Yes,2.4,6457.0
830,New York,Albany,543054.0,3910.0,5.0,4.0,0.7,2005,2638.0,No,No,0.0,,25.0,Yes,1.37,3599.0
831,Nevada,Reno,754649.0,2297.0,2.0,1.0,3.69,1976,,No,No,0.0,9.0,38.0,Yes,0.73,4670.0
832,Texas,Austin,1807296.0,3551.0,1.0,3.0,4.68,1986,6924.0,Yes,No,0.0,3.0,52.0,Yes,2.33,2524.0
833,California,San Diego,1853772.0,3658.0,4.0,,0.52,2008,6705.0,Yes,Yes,3.0,,35.0,No,2.76,3159.0
834,Texas,Houston,399286.0,3719.0,3.0,4.0,1.51,2018,1071.0,Yes,No,1.0,8.0,89.0,No,1.23,4485.0
835,Florida,Tampa,372345.0,3074.0,1.0,,1.75,2020,1133.0,Yes,Yes,0.0,9.0,89.0,Yes,1.72,4003.0
836,Illinois,Chicago,1391924.0,2792.0,4.0,3.0,2.44,2008,6302.0,Yes,Yes,0.0,,18.0,Yes,2.76,4794.0
837,California,Sacramento,966943.0,1487.0,5.0,3.0,2.3,1965,3597.0,Yes,No,3.0,8.0,66.0,No,2.13,5725.0
838,Illinois,Naperville,1524964.0,727.0,1.0,4.0,3.44,1952,5209.0,No,No,0.0,9.0,15.0,Yes,1.49,5936.0
839,California,Los Angeles,3539425.0,1243.0,1.0,1.0,3.28,1971,13521.0,No,Yes,1.0,1.0,4.0,No,2.45,3241.0
840,New York,Buffalo,398376.0,2064.0,3.0,2.0,0.44,2009,1921.0,Yes,No,1.0,7.0,71.0,Yes,1.77,5651.0
841,Florida,Tampa,418130.0,,1.0,3.0,4.97,1964,1331.0,Yes,Yes,1.0,2.0,17.0,No,1.66,2957.0
842,Texas,Austin,1107093.0,,2.0,4.0,4.98,1968,4983.0,Yes,Yes,3.0,9.0,96.0,Yes,2.5,1159.0
843,Florida,Tampa,,671.0,4.0,3.0,0.61,1988,2305.0,Yes,Yes,2.0,1.0,99.0,No,2.88,6217.0
844,Arizona,Scottsdale,2584136.0,4595.0,5.0,1.0,4.92,1990,6039.0,Yes,Yes,1.0,10.0,50.0,Yes,1.62,5261.0
845,Illinois,Peoria,479449.0,3246.0,5.0,2.0,2.29,2011,1945.0,Yes,Yes,0.0,10.0,88.0,No,0.98,2396.0
846,Illinois,Springfield,,4098.0,4.0,4.0,0.91,1974,1398.0,No,Yes,0.0,,86.0,Yes,1.9,4495.0
847,Illinois,Peoria,686393.0,2534.0,,3.0,0.95,1972,1462.0,Yes,Yes,3.0,7.0,,No,2.47,3173.0
848,New York,Rochester,,,4.0,4.0,2.16,1961,1306.0,No,No,3.0,2.0,98.0,No,2.78,3288.0
849,Texas,San Antonio,718317.0,3742.0,4.0,3.0,3.75,1984,1752.0,No,Yes,2.0,7.0,,Yes,,
850,Illinois,Springfield,456302.0,648.0,1.0,4.0,1.28,2002,2258.0,Yes,Yes,2.0,5.0,23.0,Yes,2.23,1863.0
851,New York,Albany,577100.0,4819.0,4.0,2.0,1.87,1994,2558.0,Yes,No,2.0,9.0,81.0,Yes,2.57,2213.0
852,Georgia,Atlanta,557132.0,,3.0,2.0,0.29,2007,,No,No,2.0,2.0,38.0,Yes,0.69,3427.0
853,Nevada,Reno,799593.0,2771.0,3.0,2.0,0.31,1960,3425.0,Yes,Yes,0.0,6.0,9.0,Yes,2.17,3882.0
854,Georgia,Savannah,716173.0,4568.0,,1.0,3.84,2000,3344.0,Yes,Yes,1.0,7.0,35.0,Yes,0.81,6672.0
855,Arizona,Phoenix,698019.0,3311.0,3.0,1.0,3.77,1961,,Yes,Yes,3.0,3.0,46.0,Yes,2.99,3233.0
856,Florida,Jacksonville,292751.0,2455.0,3.0,3.0,0.7,1952,797.0,Yes,No,2.0,1.0,28.0,Yes,2.53,2960.0
857,California,San Francisco,2041867.0,3096.0,1.0,4.0,3.36,1961,9417.0,No,Yes,2.0,5.0,76.0,No,2.39,4026.0
858,Georgia,Savannah,327543.0,3198.0,1.0,2.0,2.32,2009,816.0,No,Yes,2.0,7.0,80.0,No,0.87,3479.0
859,Georgia,Augusta,373931.0,1706.0,4.0,2.0,4.36,1950,952.0,No,Yes,0.0,8.0,6.0,No,2.67,5639.0
860,Georgia,Columbus,412302.0,1037.0,4.0,4.0,0.36,2007,1627.0,No,No,3.0,9.0,27.0,No,2.77,3688.0
861,Nevada,Carson City,301334.0,1486.0,,4.0,1.14,1950,,Yes,Yes,3.0,4.0,81.0,No,1.32,
862,Texas,Dallas,1297795.0,4764.0,4.0,,2.7,1973,4508.0,Yes,Yes,3.0,3.0,5.0,Yes,1.02,5526.0
863,Arizona,Phoenix,1259817.0,1262.0,5.0,2.0,4.75,1975,4847.0,No,Yes,2.0,10.0,79.0,Yes,0.62,6734.0
864,Illinois,Peoria,617194.0,1542.0,3.0,2.0,2.87,1951,,No,Yes,3.0,1.0,46.0,Yes,0.91,5891.0
865,Texas,Austin,1526538.0,1840.0,3.0,1.0,0.14,2010,5589.0,No,Yes,0.0,3.0,2.0,Yes,2.34,1234.0
866,California,Sacramento,961129.0,3419.0,4.0,4.0,1.85,2018,3730.0,Yes,No,1.0,2.0,16.0,No,1.8,6648.0
867,Nevada,Reno,1044915.0,1389.0,5.0,4.0,1.01,2005,3086.0,Yes,Yes,0.0,5.0,38.0,No,1.71,5705.0
868,Florida,Miami,,4276.0,5.0,3.0,2.45,2021,1924.0,No,No,1.0,7.0,95.0,No,0.63,3688.0
869,Nevada,Reno,1307697.0,3054.0,1.0,2.0,1.81,1970,3613.0,No,Yes,1.0,3.0,,No,2.85,1145.0
870,Georgia,Augusta,320740.0,3068.0,2.0,1.0,3.55,1965,1160.0,No,Yes,0.0,,55.0,No,2.0,5962.0
871,New York,Rochester,525335.0,2924.0,5.0,1.0,0.8,2012,2209.0,Yes,No,2.0,2.0,51.0,Yes,1.35,1862.0
872,Nevada,Henderson,723802.0,4707.0,,3.0,1.67,1995,3252.0,Yes,Yes,1.0,3.0,12.0,Yes,2.79,3345.0
873,Florida,Tampa,1132594.0,1683.0,1.0,3.0,3.56,2014,5281.0,Yes,No,2.0,8.0,52.0,No,1.81,2563.0
874,New York,Rochester,280591.0,925.0,3.0,2.0,4.51,1980,917.0,No,No,2.0,2.0,15.0,Yes,0.75,5569.0
875,Illinois,Naperville,547279.0,4153.0,5.0,1.0,0.4,2000,1644.0,Yes,Yes,0.0,,8.0,No,1.79,4494.0
876,Georgia,Savannah,446067.0,4410.0,,2.0,2.36,2002,1258.0,No,No,1.0,8.0,95.0,No,1.43,
877,New York,New York City,1199181.0,1157.0,3.0,1.0,0.19,2010,3440.0,Yes,Yes,0.0,10.0,61.0,Yes,1.81,2507.0
878,Illinois,Chicago,471819.0,1374.0,2.0,2.0,3.71,1996,1078.0,No,Yes,3.0,9.0,53.0,No,2.96,2740.0
879,Florida,Jacksonville,373020.0,,4.0,2.0,4.48,2012,1422.0,No,Yes,,1.0,65.0,Yes,1.81,2285.0
880,Illinois,Naperville,1555737.0,1077.0,2.0,2.0,0.2,1955,4351.0,Yes,Yes,0.0,4.0,26.0,Yes,0.73,3976.0
881,Illinois,Chicago,771135.0,3162.0,5.0,4.0,0.72,2017,2050.0,No,No,0.0,1.0,8.0,Yes,1.79,3781.0
882,New York,Buffalo,364417.0,4951.0,4.0,4.0,1.12,2011,834.0,Yes,No,,1.0,21.0,Yes,0.67,6401.0
883,Florida,Orlando,838102.0,3753.0,2.0,3.0,1.42,1995,3482.0,No,Yes,3.0,4.0,51.0,Yes,2.51,6700.0
884,Illinois,Naperville,,4393.0,5.0,2.0,3.02,1986,4726.0,Yes,No,0.0,1.0,79.0,No,2.3,2339.0
885,Arizona,Phoenix,655623.0,3647.0,5.0,1.0,1.48,1952,2540.0,No,No,2.0,9.0,100.0,Yes,1.8,5462.0
886,Georgia,Savannah,,2145.0,1.0,2.0,0.6,2003,2715.0,No,Yes,1.0,8.0,,No,1.85,6051.0
887,Illinois,Springfield,339836.0,2850.0,2.0,4.0,3.97,2006,1355.0,Yes,Yes,0.0,7.0,98.0,Yes,2.43,5415.0
888,Arizona,Phoenix,1390928.0,2703.0,2.0,2.0,2.61,2007,4911.0,No,Yes,3.0,3.0,16.0,Yes,,6807.0
889,California,Los Angeles,3491910.0,2410.0,5.0,1.0,0.53,2000,15044.0,Yes,Yes,2.0,6.0,27.0,No,,
890,Florida,Orlando,789575.0,4032.0,4.0,2.0,4.75,2002,2603.0,No,Yes,3.0,10.0,66.0,No,2.58,2137.0
891,Arizona,Tucson,902292.0,4603.0,5.0,4.0,4.39,1955,4272.0,No,Yes,1.0,5.0,3.0,Yes,0.63,
892,Nevada,Carson City,999096.0,2403.0,2.0,1.0,2.21,1954,2205.0,Yes,No,2.0,3.0,,Yes,1.01,5772.0
893,New York,Rochester,392403.0,721.0,4.0,,2.6,1963,1129.0,Yes,No,2.0,3.0,47.0,No,0.94,4895.0
894,New York,New York City,1938040.0,2173.0,1.0,1.0,0.48,1974,8245.0,No,Yes,0.0,8.0,76.0,Yes,1.24,4661.0
895,Texas,Austin,1406736.0,2177.0,4.0,1.0,3.88,2021,5957.0,Yes,Yes,2.0,4.0,14.0,Yes,2.85,4997.0
896,Texas,Dallas,1342468.0,4656.0,1.0,1.0,0.2,2001,4707.0,Yes,Yes,1.0,1.0,67.0,Yes,2.54,6040.0
897,Georgia,Savannah,300939.0,1738.0,5.0,3.0,1.06,1975,1254.0,No,No,1.0,2.0,82.0,No,2.53,3560.0
898,Illinois,Naperville,955862.0,2052.0,2.0,4.0,4.53,1994,3377.0,No,No,,3.0,28.0,No,1.04,1216.0
899,Arizona,Scottsdale,1158208.0,2735.0,3.0,4.0,1.13,1974,4759.0,Yes,Yes,0.0,10.0,1.0,No,1.33,1248.0
900,Illinois,Springfield,598882.0,3650.0,,1.0,1.56,1961,2210.0,Yes,No,2.0,8.0,63.0,Yes,2.85,2185.0
901,New York,Buffalo,293433.0,1209.0,4.0,4.0,2.77,1999,1145.0,Yes,Yes,2.0,4.0,93.0,Yes,0.93,
902,California,Los Angeles,3066796.0,2147.0,2.0,3.0,4.7,1960,9286.0,Yes,Yes,2.0,3.0,11.0,No,2.56,6327.0
903,Georgia,Savannah,613066.0,3374.0,4.0,2.0,3.14,1966,2617.0,No,Yes,0.0,4.0,64.0,Yes,0.9,6820.0
904,New York,Buffalo,242237.0,1660.0,4.0,1.0,3.59,1979,750.0,No,Yes,,,65.0,No,1.72,2894.0
905,New York,Rochester,536114.0,3983.0,1.0,1.0,0.81,1971,1799.0,Yes,No,0.0,2.0,4.0,Yes,2.89,4931.0
906,Florida,Orlando,,3496.0,,1.0,2.2,1967,1941.0,No,Yes,,7.0,82.0,No,,6409.0
907,New York,Albany,582475.0,4747.0,4.0,1.0,1.52,1963,1811.0,Yes,No,3.0,,62.0,Yes,2.43,6851.0
908,Illinois,Peoria,220787.0,,4.0,,1.27,2004,722.0,No,No,0.0,9.0,65.0,Yes,1.9,3360.0
909,Georgia,Augusta,594435.0,2337.0,2.0,3.0,4.1,1954,2149.0,No,Yes,1.0,5.0,66.0,No,2.78,6385.0
910,Arizona,Phoenix,1421113.0,3098.0,4.0,2.0,4.7,2003,2848.0,No,No,3.0,10.0,25.0,No,2.02,6244.0
911,Nevada,Carson City,833459.0,,3.0,4.0,3.65,1976,2029.0,No,No,0.0,4.0,31.0,Yes,1.43,1068.0
912,Florida,Miami,,4372.0,,2.0,1.52,1955,4742.0,No,No,0.0,3.0,34.0,Yes,0.88,5203.0
913,Georgia,Atlanta,634215.0,4769.0,,1.0,3.98,1964,1679.0,Yes,No,1.0,4.0,56.0,No,,6005.0
914,Arizona,Phoenix,463190.0,1718.0,2.0,2.0,2.86,1962,1094.0,Yes,No,0.0,10.0,56.0,Yes,2.71,3558.0
915,Illinois,Peoria,,4275.0,1.0,4.0,4.41,1978,3079.0,Yes,Yes,,1.0,18.0,Yes,0.66,4376.0
916,Texas,Dallas,1398412.0,1213.0,4.0,1.0,0.4,1976,5015.0,No,No,3.0,2.0,9.0,Yes,2.0,4547.0
917,Texas,Dallas,497364.0,3525.0,5.0,3.0,1.88,1987,1978.0,Yes,No,2.0,7.0,14.0,No,1.31,5812.0
918,Texas,Houston,1177561.0,4423.0,4.0,2.0,3.37,1974,2681.0,No,Yes,2.0,10.0,93.0,No,0.69,5371.0
919,California,San Francisco,4629349.0,2002.0,2.0,2.0,0.73,1975,13441.0,Yes,Yes,2.0,4.0,,Yes,2.45,5157.0
920,Florida,Orlando,689130.0,2335.0,4.0,2.0,0.38,2000,1804.0,Yes,Yes,0.0,7.0,,Yes,1.49,2240.0
921,California,San Diego,1874127.0,3053.0,2.0,3.0,0.22,1969,7386.0,Yes,Yes,2.0,1.0,,No,1.63,
922,Illinois,Peoria,384579.0,1751.0,,1.0,1.25,1967,1052.0,Yes,No,0.0,5.0,62.0,No,1.14,2715.0
923,Nevada,Reno,625460.0,2963.0,3.0,3.0,0.28,1958,1492.0,No,Yes,0.0,4.0,26.0,No,1.76,2668.0
924,Nevada,Carson City,949731.0,1991.0,3.0,4.0,1.62,2015,4235.0,No,Yes,1.0,5.0,28.0,Yes,2.15,2319.0
925,Arizona,Mesa,826070.0,3718.0,4.0,2.0,1.7,1983,2490.0,No,No,3.0,10.0,28.0,Yes,0.94,3844.0
926,California,San Diego,654954.0,2141.0,5.0,1.0,3.77,2011,2276.0,Yes,Yes,0.0,3.0,99.0,Yes,1.27,4115.0
927,New York,Albany,662298.0,3829.0,3.0,4.0,2.95,2017,2749.0,No,No,2.0,8.0,31.0,Yes,2.84,3884.0
928,Georgia,Augusta,748431.0,3588.0,5.0,4.0,3.86,1964,2619.0,No,No,2.0,7.0,29.0,Yes,1.95,6820.0
929,Florida,Miami,1036615.0,2711.0,5.0,2.0,1.43,2013,4196.0,Yes,Yes,2.0,7.0,10.0,Yes,2.42,2548.0
930,New York,New York City,4675643.0,1099.0,5.0,1.0,0.8,2014,16920.0,Yes,No,1.0,3.0,23.0,No,,3151.0
931,Georgia,Columbus,486099.0,2834.0,3.0,4.0,2.03,2020,2156.0,No,Yes,0.0,10.0,38.0,Yes,1.55,2867.0
932,Florida,Orlando,324960.0,1096.0,1.0,3.0,4.72,2010,890.0,Yes,No,1.0,10.0,63.0,Yes,2.86,5498.0
933,Texas,San Antonio,,4265.0,4.0,4.0,1.97,1967,1128.0,No,Yes,3.0,2.0,31.0,No,2.64,5112.0
934,Arizona,Scottsdale,2584009.0,2062.0,2.0,2.0,3.06,1984,11227.0,Yes,Yes,0.0,3.0,23.0,No,1.36,
935,California,Sacramento,1010200.0,1536.0,2.0,2.0,4.51,1954,2372.0,No,No,0.0,7.0,5.0,No,1.71,4752.0
936,Florida,Orlando,356572.0,2157.0,2.0,3.0,3.78,1962,932.0,No,No,0.0,1.0,42.0,No,2.65,3058.0
937,Arizona,Mesa,730505.0,2811.0,1.0,3.0,2.89,1985,2051.0,No,No,3.0,10.0,41.0,No,,2700.0
938,California,Los Angeles,1989547.0,,4.0,4.0,1.76,1988,7917.0,Yes,Yes,2.0,10.0,92.0,No,1.14,2058.0
939,Florida,Orlando,966357.0,3337.0,3.0,3.0,2.43,1992,3325.0,Yes,No,2.0,7.0,24.0,No,1.54,5285.0
940,Texas,Dallas,1183656.0,1453.0,3.0,2.0,2.44,1970,3080.0,Yes,Yes,3.0,4.0,23.0,Yes,,2222.0
941,Arizona,Phoenix,1082011.0,2946.0,1.0,3.0,1.18,1956,5055.0,Yes,No,0.0,4.0,43.0,Yes,0.85,2321.0
942,Arizona,Tucson,,2807.0,1.0,2.0,0.11,2020,2264.0,Yes,No,0.0,,17.0,No,1.11,6641.0
943,California,Los Angeles,1433231.0,2537.0,1.0,,2.04,2015,6758.0,Yes,Yes,2.0,7.0,49.0,Yes,1.47,4874.0
944,Illinois,Naperville,1665844.0,1478.0,,3.0,1.45,1997,6725.0,No,Yes,1.0,10.0,85.0,No,0.81,3548.0
945,Illinois,Springfield,303631.0,2835.0,3.0,4.0,1.25,1958,664.0,No,Yes,3.0,1.0,10.0,Yes,1.81,1088.0
946,Nevada,Carson City,395284.0,1111.0,4.0,3.0,4.63,1962,1969.0,No,Yes,3.0,7.0,78.0,Yes,2.46,3736.0
947,Georgia,Atlanta,892832.0,2966.0,4.0,4.0,1.49,1956,4337.0,Yes,Yes,1.0,10.0,68.0,Yes,0.78,1961.0
948,Arizona,Mesa,785772.0,4125.0,4.0,,4.35,2017,2434.0,Yes,No,,3.0,38.0,Yes,,1352.0
949,Nevada,Henderson,827616.0,2802.0,4.0,4.0,3.63,1980,2211.0,No,Yes,,3.0,63.0,No,2.97,2987.0
950,Georgia,Savannah,821428.0,3248.0,2.0,2.0,2.73,1984,3197.0,Yes,Yes,2.0,9.0,31.0,No,2.58,2832.0
951,Arizona,Tucson,636039.0,2297.0,2.0,1.0,0.39,1992,1459.0,Yes,No,,2.0,68.0,No,1.04,3104.0
952,Georgia,Atlanta,1291038.0,,3.0,,0.93,1980,5759.0,No,Yes,2.0,6.0,29.0,No,0.59,1799.0
953,New York,Rochester,278528.0,3384.0,4.0,,2.85,2005,784.0,No,Yes,2.0,,40.0,Yes,1.95,2506.0
954,Arizona,Mesa,,3779.0,1.0,1.0,2.36,1956,2881.0,No,No,,10.0,26.0,Yes,2.48,1127.0
955,Arizona,Mesa,701339.0,4237.0,,1.0,4.69,1991,1980.0,No,No,,6.0,23.0,No,1.66,5109.0
956,Nevada,Henderson,1057364.0,875.0,4.0,4.0,3.83,1975,4801.0,Yes,Yes,1.0,8.0,35.0,No,1.49,5288.0
957,Illinois,Chicago,486023.0,656.0,,1.0,2.94,1989,1325.0,Yes,Yes,3.0,5.0,,No,1.09,5905.0
958,New York,New York City,2665663.0,3374.0,5.0,4.0,2.19,2008,9713.0,Yes,No,1.0,7.0,94.0,Yes,2.41,2524.0
959,Illinois,Springfield,306830.0,2977.0,1.0,4.0,2.49,1995,1016.0,Yes,Yes,1.0,2.0,5.0,No,1.77,5275.0
960,New York,Albany,608227.0,4954.0,1.0,1.0,3.8,1999,1352.0,Yes,No,2.0,1.0,33.0,No,2.91,
961,Nevada,Henderson,1096734.0,3530.0,3.0,,2.94,1970,3829.0,No,No,3.0,4.0,67.0,No,2.0,3764.0
962,Illinois,Peoria,514596.0,2190.0,2.0,2.0,4.12,1983,,Yes,No,2.0,2.0,1.0,Yes,0.76,6347.0
963,Florida,Orlando,620401.0,675.0,3.0,2.0,3.17,2019,1586.0,Yes,Yes,2.0,7.0,82.0,Yes,2.88,3070.0
964,Florida,Miami,1026906.0,4835.0,5.0,1.0,2.0,1954,3845.0,No,No,3.0,10.0,,Yes,2.03,3220.0
965,California,Sacramento,804200.0,4308.0,5.0,1.0,2.74,1974,2255.0,Yes,No,2.0,7.0,56.0,No,1.79,1997.0
966,Illinois,Naperville,1378270.0,2115.0,3.0,3.0,0.6,1958,5753.0,No,No,2.0,6.0,13.0,No,1.16,2837.0
967,Arizona,Mesa,849758.0,2067.0,1.0,2.0,2.74,1975,2356.0,Yes,Yes,1.0,8.0,96.0,No,1.98,1806.0
968,Nevada,Las Vegas,667882.0,2288.0,5.0,4.0,1.42,1963,2461.0,No,No,3.0,3.0,33.0,Yes,,4724.0
969,Texas,Houston,781932.0,922.0,2.0,3.0,3.14,1966,2380.0,Yes,Yes,1.0,,13.0,Yes,1.2,6101.0
970,New York,Albany,410894.0,2404.0,5.0,3.0,3.82,1999,879.0,No,No,3.0,3.0,13.0,No,2.06,4147.0
971,New York,New York City,1101710.0,1788.0,5.0,3.0,3.86,2018,4147.0,No,Yes,0.0,3.0,100.0,Yes,2.07,5625.0
972,Arizona,Mesa,811711.0,1737.0,,,2.86,2002,3336.0,Yes,Yes,3.0,,99.0,Yes,2.47,
973,Nevada,Carson City,851956.0,1807.0,4.0,4.0,4.45,1987,3692.0,No,No,2.0,5.0,36.0,No,1.02,2174.0
974,Arizona,Mesa,894828.0,1036.0,1.0,3.0,3.58,2000,3545.0,No,Yes,,10.0,13.0,Yes,2.28,2653.0
975,New York,New York City,4920143.0,4443.0,3.0,3.0,3.93,1987,13285.0,No,Yes,1.0,5.0,,Yes,1.71,2540.0
976,Arizona,Scottsdale,1704684.0,4734.0,5.0,1.0,3.31,1958,8479.0,No,No,1.0,8.0,36.0,No,,2795.0
977,New York,New York City,1806111.0,2519.0,4.0,4.0,1.32,1973,5188.0,No,Yes,3.0,10.0,,Yes,2.2,
978,Florida,Jacksonville,610563.0,3990.0,5.0,1.0,2.41,1991,1265.0,No,Yes,0.0,9.0,8.0,Yes,0.72,5308.0
979,Florida,Orlando,431323.0,778.0,3.0,1.0,1.22,2014,,Yes,Yes,1.0,8.0,36.0,No,2.61,5919.0
980,Illinois,Naperville,1700555.0,1177.0,5.0,4.0,2.83,2016,6812.0,No,No,1.0,9.0,72.0,Yes,1.76,6022.0
981,California,Los Angeles,1574750.0,1589.0,4.0,2.0,0.28,1971,5518.0,Yes,No,1.0,7.0,30.0,Yes,,5155.0
982,California,Los Angeles,2538916.0,1132.0,4.0,3.0,0.74,1981,8049.0,Yes,No,0.0,,69.0,No,1.91,
983,Nevada,Henderson,1188804.0,1646.0,4.0,2.0,3.76,2007,5299.0,No,Yes,3.0,4.0,86.0,No,2.3,6810.0
984,Illinois,Chicago,,3368.0,3.0,3.0,2.62,1979,2467.0,No,No,0.0,,45.0,Yes,2.48,4536.0
985,Nevada,Las Vegas,305560.0,1819.0,1.0,2.0,3.93,2019,1469.0,Yes,No,3.0,6.0,76.0,No,2.78,3277.0
986,Georgia,Augusta,,3052.0,4.0,3.0,0.47,1968,1729.0,Yes,Yes,3.0,9.0,83.0,Yes,2.54,1170.0
987,Arizona,Tucson,848194.0,4427.0,4.0,3.0,4.92,1979,2622.0,Yes,No,,7.0,1.0,No,1.71,5566.0
988,Illinois,Naperville,1104574.0,3675.0,1.0,4.0,0.16,2016,,No,No,1.0,7.0,9.0,No,0.84,6631.0
989,New York,New York City,3457254.0,1452.0,2.0,1.0,0.88,2017,13601.0,No,Yes,3.0,2.0,46.0,Yes,2.59,1336.0
